loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
-905.105469,655.196594,228.417114,-19.465708,-599.685608,0.0,-0.027592,-0.006652,0.0,0.100924,0.697121,7
-907.232788,589.652771,228.417114,-19.462729,-599.684143,0.0,0.027258,0.013402,0.0,0.109299,0.806419,8
-909.142944,530.797119,228.417114,-19.462526,-599.685791,0.0,0.00206,-0.016791,0.0,0.098144,0.904563,9
-910.907715,476.419678,228.417114,-19.461704,-599.68457,0.0,0.009066,0.013462,0.0,0.090676,0.995239,10
-912.867188,416.041443,228.417114,-19.463152,-599.683655,0.0,-0.014379,0.009093,0.0,0.100682,1.095922,11
-914.852966,348.83136,228.417114,-15.008195,-599.812195,0.0,39.752541,-1.146991,0.0,0.112067,1.207989,12
-916.119507,288.386139,228.417114,-11.494977,-599.890015,0.0,34.865379,-0.772289,0.0,0.100765,1.308754,13
-917.117432,233.019211,228.417114,-10.499773,-599.908386,0.0,10.783117,-0.199058,0.0,0.092293,1.401047,14
-918.136719,173.427322,228.417114,-10.154508,-599.914001,0.0,3.475778,-0.056528,0.0,0.099335,1.500381,15
-919.057129,118.680038,228.417114,-10.055754,-599.915649,0.0,1.082151,-0.018058,0.0,0.091257,1.591639,16
-920.220215,49.117756,228.417114,-10.017283,-599.916382,0.0,0.331768,-0.006316,0.0,0.115955,1.707594,17
-921.142822,-6.160123,228.417114,-10.009279,-599.916504,0.0,0.086868,-0.001325,0.0,0.092142,1.799736,18
-922.125366,-65.054169,228.417114,-10.00787,-599.916504,0.0,0.014358,0.0,0.0,0.098171,1.897907,19
-923.236389,-131.654022,228.417114,-10.005472,-599.916321,0.0,0.021596,0.001649,0.0,0.111017,2.008924,20
-924.211487,-190.113647,228.417114,-10.006561,-599.916138,0.0,-0.011177,0.001879,0.0,0.097445,2.106369,21
-925.14209,-245.911682,228.417114,-10.005013,-599.916504,0.0,0.016652,-0.003937,0.0,0.09301,2.199379,22
-926.0896,-302.727661,228.417114,-10.006281,-599.915894,0.0,-0.013392,0.006444,0.0,0.094709,2.294088,23
-927.230957,-371.155731,228.417114,-10.008725,-599.91687,0.0,-0.021429,-0.008562,0.0,0.114063,2.408152,24
-928.196167,-429.014099,228.417114,-10.008522,-599.915955,0.0,0.002106,0.009493,0.0,0.096443,2.504595,25
-929.119934,-484.402588,228.417114,-10.004748,-599.917175,0.0,0.040874,-0.013222,0.0,0.092325,2.59692,26
